Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude,US Zip
Transaction_date # 349,Product # 349,Price # 349,Diners,Name # 349,Boise,ID,United States,Account_Created # 349,Last_Login # 349,Latitude # 349,-116.2025,83702
Transaction_date # 350,Product # 350,Price # 350,Visa,Name # 350,Rock Hill,SC,United States,Account_Created # 350,Last_Login # 350,Latitude # 350,-81.02528,29730
Transaction_date # 351,Product # 351,Price # 351,Mastercard,Name # 351,Mililani,HI,United States,Account_Created # 351,Last_Login # 351,Latitude # 351,-157.96083,96782
Transaction_date # 352,Product # 352,Price # 352,Visa,Name # 352,Westminster,CO,United States,Account_Created # 352,Last_Login # 352,Latitude # 352,-105.03667,80030
Transaction_date # 353,Product # 353,Price # 353,Visa,Name # 353,Issaquah,WA,United States,Account_Created # 353,Last_Login # 353,Latitude # 353,-122.03139,98027
Transaction_date # 354,Product # 354,Price # 354,Mastercard,Name # 354,Cypress,CA,United States,Account_Created # 354,Last_Login # 354,Latitude # 354,-118.03639,90630
Transaction_date # 355,Product # 355,Price # 355,Visa,Name # 355,Lititz,PA,United States,Account_Created # 355,Last_Login # 355,Latitude # 355,-76.30722,17543
Transaction_date # 356,Product # 356,Price # 356,Visa,Name # 356,Chadds Ford,PA,United States,Account_Created # 356,Last_Login # 356,Latitude # 356,-75.59167,19317
Transaction_date # 357,Product # 357,Price # 357,Visa,Name # 357,St Thomas,VI,United States,Account_Created # 357,Last_Login # 357,Latitude # 357,-64.92111,00802
Transaction_date # 358,Product # 358,Price # 358,Mastercard,Name # 358,Coppell,TX,United States,Account_Created # 358,Last_Login # 358,Latitude # 358,-97.01472,75019
Transaction_date # 359,Product # 359,Price # 359,Visa,Name # 359,Ladera Ranch,CA,United States,Account_Created # 359,Last_Login # 359,Latitude # 359,-117.63861,92694
Transaction_date # 360,Product # 360,Price # 360,Amex,Name # 360,Boca Raton,FL,United States,Account_Created # 360,Last_Login # 360,Latitude # 360,-80.08333,33432
Transaction_date # 361,Product # 361,Price # 361,Visa,Name # 361,Chaska,MN,United States,Account_Created # 361,Last_Login # 361,Latitude # 361,-93.60194,55318
Transaction_date # 362,Product # 362,Price # 362,Visa,Name # 362,Hghlnds Ranch,CO,United States,Account_Created # 362,Last_Login # 362,Latitude # 362,-105.01611,80120
Transaction_date # 363,Product # 363,Price # 363,Amex,Name # 363,Atlanta,GA,United States,Account_Created # 363,Last_Login # 363,Latitude # 363,-84.38806,30334
Transaction_date # 364,Product # 364,Price # 364,Amex,Name # 364,Tenafly,NJ,United States,Account_Created # 364,Last_Login # 364,Latitude # 364,-73.96333,07670
Transaction_date # 365,Product # 365,Price # 365,Visa,Name # 365,Nashville,TN,United States,Account_Created # 365,Last_Login # 365,Latitude # 365,-86.78444,37219
Transaction_date # 366,Product # 366,Price # 366,Visa,Name # 366,Boyceville,WI,United States,Account_Created # 366,Last_Login # 366,Latitude # 366,-92.04083,54725
Transaction_date # 367,Product # 367,Price # 367,Visa,Name # 367,Cos Cob,CT,United States,Account_Created # 367,Last_Login # 367,Latitude # 367,-73.6,06807
Transaction_date # 368,Product # 368,Price # 368,Visa,Name # 368,Sterling,VA,United States,Account_Created # 368,Last_Login # 368,Latitude # 368,-77.42889,20164
Transaction_date # 369,Product # 369,Price # 369,Mastercard,Name # 369,Ridgefield,CT,United States,Account_Created # 369,Last_Login # 369,Latitude # 369,-73.49861,06877
Transaction_date # 370,Product # 370,Price # 370,Visa,Name # 370,Manhattan,NY,United States,Account_Created # 370,Last_Login # 370,Latitude # 370,-74.00639,10007
Transaction_date # 371,Product # 371,Price # 371,Amex,Name # 371,Alpharetta,GA,United States,Account_Created # 371,Last_Login # 371,Latitude # 371,-84.29417,30009
Transaction_date # 372,Product # 372,Price # 372,Mastercard,Name # 372,Germantown,TN,United States,Account_Created # 372,Last_Login # 372,Latitude # 372,-89.81,38138
Transaction_date # 373,Product # 373,Price # 373,Diners,Name # 373,Hono,HI,United States,Account_Created # 373,Last_Login # 373,Latitude # 373,-157.85833,96813
Transaction_date # 374,Product # 374,Price # 374,Mastercard,Name # 374,New Rochelle,NY,United States,Account_Created # 374,Last_Login # 374,Latitude # 374,-73.78278,10801
Transaction_date # 375,Product # 375,Price # 375,Mastercard,Name # 375,South Waterford,ME,United States,Account_Created # 375,Last_Login # 375,Latitude # 375,-70.7164,04088
Transaction_date # 376,Product # 376,Price # 376,Mastercard,Name # 376,Washington Township,OH,United States,Account_Created # 376,Last_Login # 376,Latitude # 376,-84.19167,45402
Transaction_date # 377,Product # 377,Price # 377,Mastercard,Name # 377,Wilmington,NC,United States,Account_Created # 377,Last_Login # 377,Latitude # 377,-77.945,28401
Transaction_date # 378,Product # 378,Price # 378,Visa,Name # 378,Seattle,WA,United States,Account_Created # 378,Last_Login # 378,Latitude # 378,-122.33083,98104
Transaction_date # 379,Product # 379,Price # 379,Amex,Name # 379,Rowayton,CT,United States,Account_Created # 379,Last_Login # 379,Latitude # 379,-73.40833,06851
Transaction_date # 380,Product # 380,Price # 380,Mastercard,Name # 380,Lebanon,PA,United States,Account_Created # 380,Last_Login # 380,Latitude # 380,-76.41167,17042
Transaction_date # 381,Product # 381,Price # 381,Amex,Name # 381,Villanova,PA,United States,Account_Created # 381,Last_Login # 381,Latitude # 381,-75.34944,19085
Transaction_date # 382,Product # 382,Price # 382,Amex,Name # 382,Las Vegas,NV,United States,Account_Created # 382,Last_Login # 382,Latitude # 382,-115.13639,89101
Transaction_date # 383,Product # 383,Price # 383,Visa,Name # 383,Warwick,NY,United States,Account_Created # 383,Last_Login # 383,Latitude # 383,-74.36028,10990
Transaction_date # 384,Product # 384,Price # 384,Visa,Name # 384,Silver Spring,MD,United States,Account_Created # 384,Last_Login # 384,Latitude # 384,-77.02639,20910
Transaction_date # 385,Product # 385,Price # 385,Visa,Name # 385,Sacramento,CA,United States,Account_Created # 385,Last_Login # 385,Latitude # 385,-121.49333,95814
Transaction_date # 386,Product # 386,Price # 386,Mastercard,Name # 386,Haymarket,VA,United States,Account_Created # 386,Last_Login # 386,Latitude # 386,-77.63667,20169
Transaction_date # 387,Product # 387,Price # 387,Visa,Name # 387,Scottsdale,AZ,United States,Account_Created # 387,Last_Login # 387,Latitude # 387,-111.89833,85251
Transaction_date # 388,Product # 388,Price # 388,Visa,Name # 388,Cambridge,MA,United States,Account_Created # 388,Last_Login # 388,Latitude # 388,-71.10611,02138
Transaction_date # 389,Product # 389,Price # 389,Visa,Name # 389,Pembroke Pines,FL,United States,Account_Created # 389,Last_Login # 389,Latitude # 389,-80.14972,33020
Transaction_date # 390,Product # 390,Price # 390,Visa,Name # 390,Chester,CT,United States,Account_Created # 390,Last_Login # 390,Latitude # 390,-72.45139,06412
Transaction_date # 391,Product # 391,Price # 391,Mastercard,Name # 391,Reston,VA,United States,Account_Created # 391,Last_Login # 391,Latitude # 391,-77.34139,20190
Transaction_date # 392,Product # 392,Price # 392,Diners,Name # 392,Alpharetta,GA,United States,Account_Created # 392,Last_Login # 392,Latitude # 392,-84.29417,30009
Transaction_date # 393,Product # 393,Price # 393,Visa,Name # 393,Ringgold,GA,United States,Account_Created # 393,Last_Login # 393,Latitude # 393,-85.10917,30736
Transaction_date # 394,Product # 394,Price # 394,Diners,Name # 394,Wall,NJ,United States,Account_Created # 394,Last_Login # 394,Latitude # 394,-74.2133,07731
Transaction_date # 395,Product # 395,Price # 395,Mastercard,Name # 395,Huntington Beach,CA,United States,Account_Created # 395,Last_Login # 395,Latitude # 395,-117.99833,92648
Transaction_date # 396,Product # 396,Price # 396,Amex,Name # 396,Los Gatos,CA,United States,Account_Created # 396,Last_Login # 396,Latitude # 396,-121.97361,95032
Transaction_date # 397,Product # 397,Price # 397,Amex,Name # 397,Alexandria,VA,United States,Account_Created # 397,Last_Login # 397,Latitude # 397,-77.04722,22314
Transaction_date # 398,Product # 398,Price # 398,Visa,Name # 398,Random Lake,WI,United States,Account_Created # 398,Last_Login # 398,Latitude # 398,-87.96167,53075
Transaction_date # 399,Product # 399,Price # 399,Mastercard,Name # 399,San Francisco,CA,United States,Account_Created # 399,Last_Login # 399,Latitude # 399,-122.41833,94103
Transaction_date # 400,Product # 400,Price # 400,Amex,Name # 400,Bedford Corners,NY,United States,Account_Created # 400,Last_Login # 400,Latitude # 400,-73.7275,10549
Transaction_date # 401,Product # 401,Price # 401,Mastercard,Name # 401,Milford,ME,United States,Account_Created # 401,Last_Login # 401,Latitude # 401,-68.64444,04461
Transaction_date # 402,Product # 402,Price # 402,Visa,Name # 402,Croton On Hudson,NY,United States,Account_Created # 402,Last_Login # 402,Latitude # 402,-73.887,10520
Transaction_date # 403,Product # 403,Price # 403,Mastercard,Name # 403,Nashville,TN,United States,Account_Created # 403,Last_Login # 403,Latitude # 403,-86.78444,37219
Transaction_date # 404,Product # 404,Price # 404,Mastercard,Name # 404,Naples,FL,United States,Account_Created # 404,Last_Login # 404,Latitude # 404,-81.795,34102
Transaction_date # 405,Product # 405,Price # 405,Mastercard,Name # 405,Bridgewater,NJ,United States,Account_Created # 405,Last_Login # 405,Latitude # 405,-74.6244,08807
Transaction_date # 406,Product # 406,Price # 406,Mastercard,Name # 406,Washington,DC,United States,Account_Created # 406,Last_Login # 406,Latitude # 406,-77.03667,20004
Transaction_date # 407,Product # 407,Price # 407,Visa,Name # 407,Huntersville,NC,United States,Account_Created # 407,Last_Login # 407,Latitude # 407,-80.84306,28078
Transaction_date # 408,Product # 408,Price # 408,Visa,Name # 408,Cartersburg,IN,United States,Account_Created # 408,Last_Login # 408,Latitude # 408,-86.46361,46168
Transaction_date # 409,Product # 409,Price # 409,Visa,Name # 409,Flower Mound,TX,United States,Account_Created # 409,Last_Login # 409,Latitude # 409,-97.09667,75022
Transaction_date # 410,Product # 410,Price # 410,Visa,Name # 410,Rochester,MI,United States,Account_Created # 410,Last_Login # 410,Latitude # 410,-83.13389,48307
Transaction_date # 411,Product # 411,Price # 411,Visa,Name # 411,Columbus,OH,United States,Account_Created # 411,Last_Login # 411,Latitude # 411,-82.99889,43215
Transaction_date # 412,Product # 412,Price # 412,Diners,Name # 412,Sag Harbor,NY,United States,Account_Created # 412,Last_Login # 412,Latitude # 412,-72.29306,11963
Transaction_date # 413,Product # 413,Price # 413,Visa,Name # 413,San Diego,CA,United States,Account_Created # 413,Last_Login # 413,Latitude # 413,-117.15639,92101
Transaction_date # 414,Product # 414,Price # 414,Mastercard,Name # 414,Wilmington,DE,United States,Account_Created # 414,Last_Login # 414,Latitude # 414,-75.54694,19801
Transaction_date # 415,Product # 415,Price # 415,Amex,Name # 415,Issaquah,WA,United States,Account_Created # 415,Last_Login # 415,Latitude # 415,-122.19944,98004
Transaction_date # 416,Product # 416,Price # 416,Visa,Name # 416,Mableton,GA,United States,Account_Created # 416,Last_Login # 416,Latitude # 416,-84.5825,30126
Transaction_date # 417,Product # 417,Price # 417,Visa,Name # 417,San Diego,CA,United States,Account_Created # 417,Last_Login # 417,Latitude # 417,-117.15639,92101
Transaction_date # 418,Product # 418,Price # 418,Mastercard,Name # 418,Minneapolis,MN,United States,Account_Created # 418,Last_Login # 418,Latitude # 418,-93.26361,55401
Transaction_date # 419,Product # 419,Price # 419,Mastercard,Name # 419,Arlington,VA,United States,Account_Created # 419,Last_Login # 419,Latitude # 419,-77.08444,22201
Transaction_date # 420,Product # 420,Price # 420,Mastercard,Name # 420,Chiefland,FL,United States,Account_Created # 420,Last_Login # 420,Latitude # 420,-82.86,32626
Transaction_date # 421,Product # 421,Price # 421,Visa,Name # 421,Newton,MA,United States,Account_Created # 421,Last_Login # 421,Latitude # 421,-71.20972,02459
Transaction_date # 422,Product # 422,Price # 422,Mastercard,Name # 422,Castle Rock,CO,United States,Account_Created # 422,Last_Login # 422,Latitude # 422,-104.85556,80104
Transaction_date # 423,Product # 423,Price # 423,Amex,Name # 423,Rockville,MD,United States,Account_Created # 423,Last_Login # 423,Latitude # 423,-77.15306,20850
Transaction_date # 424,Product # 424,Price # 424,Mastercard,Name # 424,Fresno,TX,United States,Account_Created # 424,Last_Login # 424,Latitude # 424,-95.44722,77545
Transaction_date # 425,Product # 425,Price # 425,Mastercard,Name # 425,Fresno,TX,United States,Account_Created # 425,Last_Login # 425,Latitude # 425,-95.44722,77545
Transaction_date # 426,Product # 426,Price # 426,Mastercard,Name # 426,Montgomery,TX,United States,Account_Created # 426,Last_Login # 426,Latitude # 426,-95.69611,77356
Transaction_date # 427,Product # 427,Price # 427,Mastercard,Name # 427,Manteno,IL,United States,Account_Created # 427,Last_Login # 427,Latitude # 427,-87.83139,60950
Transaction_date # 428,Product # 428,Price # 428,Diners,Name # 428,Winter Haven,FL,United States,Account_Created # 428,Last_Login # 428,Latitude # 428,-81.73306,33880
Transaction_date # 429,Product # 429,Price # 429,Visa,Name # 429,Fort Lauderdale,FL,United States,Account_Created # 429,Last_Login # 429,Latitude # 429,-80.14361,33301
Transaction_date # 430,Product # 430,Price # 430,Amex,Name # 430,Cranberry Twp,PA,United States,Account_Created # 430,Last_Login # 430,Latitude # 430,-80.13111,16066
Transaction_date # 431,Product # 431,Price # 431,Visa,Name # 431,Arlington,VA,United States,Account_Created # 431,Last_Login # 431,Latitude # 431,-77.08444,22201
Transaction_date # 432,Product # 432,Price # 432,Mastercard,Name # 432,Lake Ronkonkoma,NY,United States,Account_Created # 432,Last_Login # 432,Latitude # 432,-73.13167,11767
Transaction_date # 433,Product # 433,Price # 433,Visa,Name # 433,Alexandria,VA,United States,Account_Created # 433,Last_Login # 433,Latitude # 433,-77.04722,22314
Transaction_date # 434,Product # 434,Price # 434,Amex,Name # 434,Bluffton,SC,United States,Account_Created # 434,Last_Login # 434,Latitude # 434,-80.86056,29910
Transaction_date # 435,Product # 435,Price # 435,Amex,Name # 435,Winter Spgs,FL,United States,Account_Created # 435,Last_Login # 435,Latitude # 435,-81.30833,32708
Transaction_date # 436,Product # 436,Price # 436,Mastercard,Name # 436,Chelmsford,MA,United States,Account_Created # 436,Last_Login # 436,Latitude # 436,-71.36778,01824
Transaction_date # 437,Product # 437,Price # 437,Visa,Name # 437,Cincinnati,OH,United States,Account_Created # 437,Last_Login # 437,Latitude # 437,-84.45694,45212
Transaction_date # 438,Product # 438,Price # 438,Visa,Name # 438,Houston,TX,United States,Account_Created # 438,Last_Login # 438,Latitude # 438,-95.36306,77002
Transaction_date # 439,Product # 439,Price # 439,Amex,Name # 439,Rodeo,CA,United States,Account_Created # 439,Last_Login # 439,Latitude # 439,-122.2875,94547
Transaction_date # 440,Product # 440,Price # 440,Mastercard,Name # 440,Poughkeepsie,NY,United States,Account_Created # 440,Last_Login # 440,Latitude # 440,-73.92139,12601
Transaction_date # 441,Product # 441,Price # 441,Mastercard,Name # 441,Cincinnati,OH,United States,Account_Created # 441,Last_Login # 441,Latitude # 441,-84.45694,45212
Transaction_date # 442,Product # 442,Price # 442,Visa,Name # 442,North Eastham,MA,United States,Account_Created # 442,Last_Login # 442,Latitude # 442,-69.99167,02642
Transaction_date # 443,Product # 443,Price # 443,Visa,Name # 443,Sitka,AK,United States,Account_Created # 443,Last_Login # 443,Latitude # 443,-135.33,99835
Transaction_date # 444,Product # 444,Price # 444,Amex,Name # 444,Chicago,IL,United States,Account_Created # 444,Last_Login # 444,Latitude # 444,-87.65,60608
Transaction_date # 445,Product # 445,Price # 445,Mastercard,Name # 445,Sammamish,WA,United States,Account_Created # 445,Last_Login # 445,Latitude # 445,-122.07917,98074
Transaction_date # 446,Product # 446,Price # 446,Mastercard,Name # 446,Ewa Beach,HI,United States,Account_Created # 446,Last_Login # 446,Latitude # 446,-158.00722,96706
Transaction_date # 447,Product # 447,Price # 447,Visa,Name # 447,Statesville,NC,United States,Account_Created # 447,Last_Login # 447,Latitude # 447,-80.8875,28677
Transaction_date # 448,Product # 448,Price # 448,Visa,Name # 448,Kapaa,HI,United States,Account_Created # 448,Last_Login # 448,Latitude # 448,-159.32194,96746
Transaction_date # 449,Product # 449,Price # 449,Diners,Name # 449,Burbank,CA,United States,Account_Created # 449,Last_Login # 449,Latitude # 449,-118.30806,91502
Transaction_date # 450,Product # 450,Price # 450,Mastercard,Name # 450,Hilton Head,SC,United States,Account_Created # 450,Last_Login # 450,Latitude # 450,-80.75278,29926
Transaction_date # 451,Product # 451,Price # 451,Visa,Name # 451,Valley Center,CA,United States,Account_Created # 451,Last_Login # 451,Latitude # 451,-117.03333,92082
Transaction_date # 452,Product # 452,Price # 452,Mastercard,Name # 452,Swampscott,MA,United States,Account_Created # 452,Last_Login # 452,Latitude # 452,-70.91806,01907
Transaction_date # 453,Product # 453,Price # 453,Diners,Name # 453,San Antonio,TX,United States,Account_Created # 453,Last_Login # 453,Latitude # 453,-98.49333,78205
Transaction_date # 454,Product # 454,Price # 454,Visa,Name # 454,Bristol,RI,United States,Account_Created # 454,Last_Login # 454,Latitude # 454,-71.26667,02809
Transaction_date # 455,Product # 455,Price # 455,Mastercard,Name # 455,Greenville,TX,United States,Account_Created # 455,Last_Login # 455,Latitude # 455,-96.11056,75401
Transaction_date # 456,Product # 456,Price # 456,Visa,Name # 456,Pls Vrds Est,CA,United States,Account_Created # 456,Last_Login # 456,Latitude # 456,-118.38917,90274
Transaction_date # 457,Product # 457,Price # 457,Diners,Name # 457,Morrison,CO,United States,Account_Created # 457,Last_Login # 457,Latitude # 457,-105.19056,80465
Transaction_date # 458,Product # 458,Price # 458,Mastercard,Name # 458,Hollywood,CA,United States,Account_Created # 458,Last_Login # 458,Latitude # 458,-118.32583,90028
Transaction_date # 459,Product # 459,Price # 459,Visa,Name # 459,Morrison,CO,United States,Account_Created # 459,Last_Login # 459,Latitude # 459,-105.19056,80465
Transaction_date # 460,Product # 460,Price # 460,Mastercard,Name # 460,Augusta,GA,United States,Account_Created # 460,Last_Login # 460,Latitude # 460,-82.07583,30907
Transaction_date # 461,Product # 461,Price # 461,Amex,Name # 461,Skaneateles,NY,United States,Account_Created # 461,Last_Login # 461,Latitude # 461,-76.42944,13152
Transaction_date # 462,Product # 462,Price # 462,Visa,Name # 462,Madison,WI,United States,Account_Created # 462,Last_Login # 462,Latitude # 462,-89.40111,53715
Transaction_date # 463,Product # 463,Price # 463,Mastercard,Name # 463,Basildon,England,United Kingdom,Account_Created # 463,Last_Login # 463,Latitude # 463,-1.1166667,
Transaction_date # 464,Product # 464,Price # 464,Visa,Name # 464,London,England,United Kingdom,Account_Created # 464,Last_Login # 464,Latitude # 464,0.14559,
Transaction_date # 465,Product # 465,Price # 465,Visa,Name # 465,Manchester,England,United Kingdom,Account_Created # 465,Last_Login # 465,Latitude # 465,-2.2166667,
Transaction_date # 466,Product # 466,Price # 466,Visa,Name # 466,London,England,United Kingdom,Account_Created # 466,Last_Login # 466,Latitude # 466,0.14559,
Transaction_date # 467,Product # 467,Price # 467,Mastercard,Name # 467,Newbury,England,United Kingdom,Account_Created # 467,Last_Login # 467,Latitude # 467,-1.3166667,
Transaction_date # 468,Product # 468,Price # 468,Visa,Name # 468,Kemble,England,United Kingdom,Account_Created # 468,Last_Login # 468,Latitude # 468,-2.0180556,
Transaction_date # 469,Product # 469,Price # 469,Mastercard,Name # 469,Headley,England,United Kingdom,Account_Created # 469,Last_Login # 469,Latitude # 469,-0.8166667,
Transaction_date # 470,Product # 470,Price # 470,Mastercard,Name # 470,Southampton,England,United Kingdom,Account_Created # 470,Last_Login # 470,Latitude # 470,-1.4,
Transaction_date # 471,Product # 471,Price # 471,Mastercard,Name # 471,Helens Bay,Northern Ireland,United Kingdom,Account_Created # 471,Last_Login # 471,Latitude # 471,-5.7333333,
Transaction_date # 472,Product # 472,Price # 472,Mastercard,Name # 472,Cheltenham,England,United Kingdom,Account_Created # 472,Last_Login # 472,Latitude # 472,-2.0833333,
Transaction_date # 473,Product # 473,Price # 473,Mastercard,Name # 473,Bournemouth,England,United Kingdom,Account_Created # 473,Last_Login # 473,Latitude # 473,-1.8833333,
Transaction_date # 474,Product # 474,Price # 474,Visa,Name # 474,York,England,United Kingdom,Account_Created # 474,Last_Login # 474,Latitude # 474,-1.0833333,
Transaction_date # 475,Product # 475,Price # 475,Diners,Name # 475,Basingstoke,England,United Kingdom,Account_Created # 475,Last_Login # 475,Latitude # 475,-1.0833333,
Transaction_date # 476,Product # 476,Price # 476,Visa,Name # 476,New Malden,England,United Kingdom,Account_Created # 476,Last_Login # 476,Latitude # 476,-0.25,
Transaction_date # 477,Product # 477,Price # 477,Visa,Name # 477,Bishop Auckland,England,United Kingdom,Account_Created # 477,Last_Login # 477,Latitude # 477,-1.6666667,
Transaction_date # 478,Product # 478,Price # 478,Visa,Name # 478,Aberdeen,Scotland,United Kingdom,Account_Created # 478,Last_Login # 478,Latitude # 478,-2.1,
Transaction_date # 479,Product # 479,Price # 479,Visa,Name # 479,Wigan,England,United Kingdom,Account_Created # 479,Last_Login # 479,Latitude # 479,-2.6166667,
Transaction_date # 480,Product # 480,Price # 480,Visa,Name # 480,Abbey Town,England,United Kingdom,Account_Created # 480,Last_Login # 480,Latitude # 480,-3.2833333,
Transaction_date # 481,Product # 481,Price # 481,Visa,Name # 481,Milton Keynes,England,United Kingdom,Account_Created # 481,Last_Login # 481,Latitude # 481,-0.7,
Transaction_date # 482,Product # 482,Price # 482,Visa,Name # 482,London,England,United Kingdom,Account_Created # 482,Last_Login # 482,Latitude # 482,0.14559,
Transaction_date # 483,Product # 483,Price # 483,Visa,Name # 483,Edinburgh,Scotland,United Kingdom,Account_Created # 483,Last_Login # 483,Latitude # 483,-3.2,
Transaction_date # 484,Product # 484,Price # 484,Mastercard,Name # 484,Newburgh,Scotland,United Kingdom,Account_Created # 484,Last_Login # 484,Latitude # 484,-3.25,
Transaction_date # 485,Product # 485,Price # 485,Visa,Name # 485,Kirriemuir,Scotland,United Kingdom,Account_Created # 485,Last_Login # 485,Latitude # 485,-3,
Transaction_date # 486,Product # 486,Price # 486,Visa,Name # 486,Guildford,England,United Kingdom,Account_Created # 486,Last_Login # 486,Latitude # 486,-0.5666667,
Transaction_date # 487,Product # 487,Price # 487,Visa,Name # 487,Bishops Stortford,England,United Kingdom,Account_Created # 487,Last_Login # 487,Latitude # 487,0.1666667,
Transaction_date # 488,Product # 488,Price # 488,Diners,Name # 488,Blackpool,England,United Kingdom,Account_Created # 488,Last_Login # 488,Latitude # 488,-3.05,
Transaction_date # 489,Product # 489,Price # 489,Mastercard,Name # 489,London,England,United Kingdom,Account_Created # 489,Last_Login # 489,Latitude # 489,-0.08895,
Transaction_date # 490,Product # 490,Price # 490,Amex,Name # 490,London,England,United Kingdom,Account_Created # 490,Last_Login # 490,Latitude # 490,0.14559,
Transaction_date # 491,Product # 491,Price # 491,Diners,Name # 491,London,England,United Kingdom,Account_Created # 491,Last_Login # 491,Latitude # 491,0.14559,
Transaction_date # 492,Product # 492,Price # 492,Mastercard,Name # 492,London,England,United Kingdom,Account_Created # 492,Last_Login # 492,Latitude # 492,0.14559,
Transaction_date # 493,Product # 493,Price # 493,Visa,Name # 493,Slough,England,United Kingdom,Account_Created # 493,Last_Login # 493,Latitude # 493,-0.5833333,
Transaction_date # 494,Product # 494,Price # 494,Diners,Name # 494,Saffron Walden,England,United Kingdom,Account_Created # 494,Last_Login # 494,Latitude # 494,0.25,
Transaction_date # 495,Product # 495,Price # 495,Visa,Name # 495,Berkeswell,England,United Kingdom,Account_Created # 495,Last_Login # 495,Latitude # 495,-1.6333333,
Transaction_date # 496,Product # 496,Price # 496,Visa,Name # 496,Leighton Buzzard,England,United Kingdom,Account_Created # 496,Last_Login # 496,Latitude # 496,-0.65,
Transaction_date # 497,Product # 497,Price # 497,Visa,Name # 497,Stockton-on-Tees,England,United Kingdom,Account_Created # 497,Last_Login # 497,Latitude # 497,-1.4166667,
Transaction_date # 498,Product # 498,Price # 498,Mastercard,Name # 498,Warlingham,England,United Kingdom,Account_Created # 498,Last_Login # 498,Latitude # 498,-0.05,
Transaction_date # 499,Product # 499,Price # 499,Visa,Name # 499,Gosport,England,United Kingdom,Account_Created # 499,Last_Login # 499,Latitude # 499,-1.1333333,
Transaction_date # 500,Product # 500,Price # 500,Visa,Name # 500,Petworth,England,United Kingdom,Account_Created # 500,Last_Login # 500,Latitude # 500,-0.6,
Transaction_date # 501,Product # 501,Price # 501,Visa,Name # 501,Reading,England,United Kingdom,Account_Created # 501,Last_Login # 501,Latitude # 501,-1,
Transaction_date # 502,Product # 502,Price # 502,Visa,Name # 502,London,England,United Kingdom,Account_Created # 502,Last_Login # 502,Latitude # 502,-0.08895,
Transaction_date # 503,Product # 503,Price # 503,Mastercard,Name # 503,London,England,United Kingdom,Account_Created # 503,Last_Login # 503,Latitude # 503,0.14559,
Transaction_date # 504,Product # 504,Price # 504,Visa,Name # 504,London,England,United Kingdom,Account_Created # 504,Last_Login # 504,Latitude # 504,0.14559,
Transaction_date # 505,Product # 505,Price # 505,Visa,Name # 505,Lurgan,Northern Ireland,United Kingdom,Account_Created # 505,Last_Login # 505,Latitude # 505,-6.3333333,
Transaction_date # 506,Product # 506,Price # 506,Visa,Name # 506,Shenfield,England,United Kingdom,Account_Created # 506,Last_Login # 506,Latitude # 506,0.3166667,
Transaction_date # 507,Product # 507,Price # 507,Visa,Name # 507,Bolton,England,United Kingdom,Account_Created # 507,Last_Login # 507,Latitude # 507,-2.4333333,
Transaction_date # 508,Product # 508,Price # 508,Diners,Name # 508,High Wycombe,England,United Kingdom,Account_Created # 508,Last_Login # 508,Latitude # 508,-0.7666667,
Transaction_date # 509,Product # 509,Price # 509,Visa,Name # 509,York,England,United Kingdom,Account_Created # 509,Last_Login # 509,Latitude # 509,-1.0833333,
Transaction_date # 510,Product # 510,Price # 510,Visa,Name # 510,Bolton,England,United Kingdom,Account_Created # 510,Last_Login # 510,Latitude # 510,-2.4333333,
Transaction_date # 511,Product # 511,Price # 511,Visa,Name # 511,London,England,United Kingdom,Account_Created # 511,Last_Login # 511,Latitude # 511,0.14559,
Transaction_date # 512,Product # 512,Price # 512,Diners,Name # 512,London,England,United Kingdom,Account_Created # 512,Last_Login # 512,Latitude # 512,-0.1166667,
Transaction_date # 513,Product # 513,Price # 513,Mastercard,Name # 513,Edinburgh,Scotland,United Kingdom,Account_Created # 513,Last_Login # 513,Latitude # 513,-3.2,
Transaction_date # 514,Product # 514,Price # 514,Visa,Name # 514,Perth,Scotland,United Kingdom,Account_Created # 514,Last_Login # 514,Latitude # 514,-3.4333333,
Transaction_date # 515,Product # 515,Price # 515,Amex,Name # 515,London,England,United Kingdom,Account_Created # 515,Last_Login # 515,Latitude # 515,-0.08895,
Transaction_date # 516,Product # 516,Price # 516,Visa,Name # 516,Sutton Valence,England,United Kingdom,Account_Created # 516,Last_Login # 516,Latitude # 516,0.5833333,
Transaction_date # 517,Product # 517,Price # 517,Mastercard,Name # 517,Dumbleton,England,United Kingdom,Account_Created # 517,Last_Login # 517,Latitude # 517,-1.9666667,
Transaction_date # 518,Product # 518,Price # 518,Mastercard,Name # 518,Milton Keynes,England,United Kingdom,Account_Created # 518,Last_Login # 518,Latitude # 518,-0.7,
Transaction_date # 519,Product # 519,Price # 519,Visa,Name # 519,Stockton,England,United Kingdom,Account_Created # 519,Last_Login # 519,Latitude # 519,-2.7,
Transaction_date # 520,Product # 520,Price # 520,Visa,Name # 520,Kirriemuir,Scotland,United Kingdom,Account_Created # 520,Last_Login # 520,Latitude # 520,-3,
Transaction_date # 521,Product # 521,Price # 521,Visa,Name # 521,Oxford,England,United Kingdom,Account_Created # 521,Last_Login # 521,Latitude # 521,-1.25,
Transaction_date # 522,Product # 522,Price # 522,Visa,Name # 522,Exeter,England,United Kingdom,Account_Created # 522,Last_Login # 522,Latitude # 522,-3.5333333,
